Interval start,Interval stop,Camera serial number,Counter name,Pedestrians coming in,Pedestrians going out
2022-03-16 05:00:00,2022-03-16 06:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 06:00:00,2022-03-16 07:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 07:00:00,2022-03-16 08:00:00,ACCC8E9AF7A5,AMERICA,0,0
2022-03-16 08:00:00,2022-03-16 09:00:00,ACCC8E9AF7A5,AMERICA,10,2
2022-03-16 09:00:00,2022-03-16 10:00:00,ACCC8E9AF7A5,AMERICA,17,8
2022-03-16 10:00:00,2022-03-16 11:00:00,ACCC8E9AF7A5,AMERICA,18,10
2022-03-16 11:00:00,2022-03-16 12:00:00,ACCC8E9AF7A5,AMERICA,25,24
2022-03-16 12:00:00,2022-03-16 13:00:00,ACCC8E9AF7A5,AMERICA,23,28
2022-03-16 13:00:00,2022-03-16 14:00:00,ACCC8E9AF7A5,AMERICA,13,15
2022-03-16 14:00:00,2022-03-16 15:00:00,ACCC8E9AF7A5,AMERICA,24,21
2022-03-16 15:00:00,2022-03-16 16:00:00,ACCC8E9AF7A5,AMERICA,19,12
2022-03-16 00:00:00,2022-03-16 01:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 01:00:00,2022-03-16 02:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 02:00:00,2022-03-16 03:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 03:00:00,2022-03-16 04:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 04:00:00,2022-03-16 05:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 05:00:00,2022-03-16 06:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 06:00:00,2022-03-16 07:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 07:00:00,2022-03-16 08:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 08:00:00,2022-03-16 09:00:00,ACCC8E9AF7BF,ENSUENO,0,0
2022-03-16 09:00:00,2022-03-16 10:00:00,ACCC8E9AF7BF,ENSUENO,5,4
2022-03-16 10:00:00,2022-03-16 11:00:00,ACCC8E9AF7BF,ENSUENO,12,11
2022-03-16 11:00:00,2022-03-16 12:00:00,ACCC8E9AF7BF,ENSUENO,11,11
2022-03-16 12:00:00,2022-03-16 13:00:00,ACCC8E9AF7BF,ENSUENO,8,12
2022-03-16 13:00:00,2022-03-16 14:00:00,ACCC8E9AF7BF,ENSUENO,17,9
2022-03-16 14:00:00,2022-03-16 15:00:00,ACCC8E9AF7BF,ENSUENO,18,19
2022-03-16 15:00:00,2022-03-16 16:00:00,ACCC8E9AF7BF,ENSUENO,11,13
